dcode,name,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
1041,หลักสี่,-0.74%,-0.46%,-1.16%,-1.11%,-1.58%,-1.14%,-0.74%,-1.15%,-0.80%,-1.26%
1042,สายไหม,2.35%,1.91%,1.28%,2.63%,1.45%,1.17%,1.79%,1.55%,1.31%,1.68%
1043,คันนายาว,0.55%,0.66%,0.38%,0.50%,0.96%,1.49%,2.22%,1.83%,1.04%,2.49%
1044,สะพานสูง,1.31%,1.21%,1.07%,0.64%,0.38%,1.10%,1.63%,1.51%,0.88%,1.53%
1045,วังทองหลาง,0.03%,0.61%,0.02%,-0.01%,-0.53%,-0.29%,0.05%,-0.49%,-0.46%,-0.76%
1046,คลองสามวา,3.93%,3.71%,3.33%,3.69%,3.04%,2.65%,2.63%,2.73%,2.24%,3.57%
1047,บางนา,-0.33%,-0.87%,-0.91%,-0.70%,-1.85%,-1.22%,-0.68%,-0.93%,-0.71%,-1.73%
1048,ทวีวัฒนา,2.59%,2.61%,1.95%,1.59%,1.16%,1.08%,0.67%,0.43%,0.47%,0.53%
1049,ทุ่งครุ,1.04%,1.24%,1.04%,0.83%,0.60%,0.60%,0.98%,1.43%,0.81%,0.55%
1050,บางบอน,1.93%,1.68%,0.49%,1.03%,0.22%,0.38%,0.88%,0.99%,0.22%,-0.22%
